Temperature, TDS
32.68, 877.32
32.75, 876.32
32.68, 877.53
32.75, 927.43
32.68, 914.92
32.68, 943.76
32.75, 933.76
32.68, 947.03
32.68, 1050.12
32.68, 1008.05
32.68, 994.79
32.68, 1008.24
32.68, 1007.57
32.68, 1010.39
32.68, 1004.09
32.68, 1003.96
32.68, 1005.58
32.68, 1003.53
32.68, 1006.45
32.68, 1006.62
32.68, 1005.11
32.68, 1005.84
32.68, 1006.32
32.68, 1005.93
32.68, 1003.90
32.68, 1012.54
32.68, 1023.26
32.68, 1059.10
32.68, 1057.43
32.68, 1055.66
32.68, 1052.96
32.68, 1057.92
32.62, 1056.00
32.68, 1056.48
32.62, 1057.24
32.68, 1057.29
32.68, 1057.88
32.62, 1059.12
32.62, 1057.62
32.68, 1059.26
32.68, 1056.88
32.62, 1058.19
32.62, 1058.19
32.62, 1058.46
32.68, 1056.77
32.68, 1057.45
32.62, 1059.75
32.68, 1057.56
32.62, 1059.80
32.68, 1057.09
32.68, 1055.82
