Temperature, TDS
32.75, 1055.92
32.75, 1056.33
32.75, 1053.26
32.75, 1056.26
32.75, 1057.41
32.75, 1055.20
32.75, 1056.82
32.75, 1056.40
32.75, 1057.07
32.75, 1056.44
32.75, 1055.92
32.75, 1058.84
32.75, 1056.89
32.75, 1057.01
32.75, 1056.55
32.75, 1055.97
32.75, 1056.60
32.75, 1054.81
32.68, 1059.17
32.75, 1056.35
32.68, 1057.27
32.68, 1055.62
32.68, 1057.11
32.68, 1055.08
32.68, 1054.08
32.68, 1055.55
32.68, 1056.59
32.68, 1056.07
32.68, 1055.57
32.68, 1057.22
32.68, 1057.20
32.62, 1058.19
32.68, 1056.86
32.68, 1057.02
32.68, 1056.73
32.68, 1057.16
32.68, 1056.23
32.68, 1055.35
32.68, 1055.82
32.68, 1055.53
32.68, 1056.03
32.68, 1057.43
32.68, 1056.36
32.68, 1056.54
32.68, 1057.31
32.68, 1056.39
32.68, 1056.52
32.68, 1056.77
32.68, 1056.82
